yearshift,annual.anom,summer.anom,silver.gr,herr.gr
2014,-0.738679418,-0.611666211,3.754470176,2.707336166
2015,-0.413557453,0.063529218,2.55230688,4.976565429
2016,0.693155738,0.57090267,5.402982809,3.158988764
2017,-0.365373731,-1.044631205,4.908258399,1.190646488
2018,-0.109310659,0.579480359,2.920696318,4.744345548
2019,-0.266083944,0.356014286,NA,NA
2020,0.657297938,1.867622295,4.456740865,3.92468565
2021,1.236438668,1.701097332,5.225221276,3.167760854
2022,0.970082431,1.51710239,6.230507021,1.378452259
2023,1.117934645,1.421498902,4.863632264,NA
2024,0.899648258,1.098535641,NA,NA
2025,0.181438845,0.502715061,2.706619938,5.803526841
